epoch,num_episodes,total_reward,reward_per_epoch,mean_q                                                                                                                                                    
1,240,322,1.34166666667,0.202128691593                                                                                                                                                                     
2,224,1002,4.47321428571,0.212668006818                                                                                                                                                                    
3,244,1374,5.63114754098,0.225726195669                                                                                                                                                                    
4,250,1603,6.412,0.258993961671                                                                                                                                                                            
5,190,1589,8.36315789474,0.284368881431                                                                                                                                                                    
6,192,1876,9.77083333333,0.34602535589                                                                                                                                                                     
7,180,2182,12.1222222222,0.427714602532                                                                                                                                                                    
8,181,2478,13.6906077348,0.506556270854                                                                                                                                                                    
9,208,2628,12.6346153846,0.595903248936                                                                                                                                                                    
10,180,2504,13.9111111111,0.651372296873                                                                                                                                                                   
11,179,2487,13.8938547486,0.680315238747                                                                                                                                                                   
12,219,2411,11.0091324201,0.73444852244                                                                                                                                                                    
13,220,2495,11.3409090909,0.736332984428                                                                                                                                                                   
14,200,2991,14.955,0.73158711022                                                                                                                                                                           
15,190,2769,14.5736842105,0.739371867799                                                                                                                                                                   
16,180,2788,15.4888888889,0.72528404261                                                                                                                                                                    
17,169,3105,18.3727810651,0.723313306662                                                                                                                                                                   
18,163,2817,17.282208589,0.707108910156                                                                                                                                                                    
19,171,2719,15.9005847953,0.687738021729                                                                                                                                                                   
20,155,3174,20.4774193548,0.653559078205                                                                                                                                                                   
21,154,2601,16.8896103896,0.650101098907
